"id","data_version","date","months","garagem","terraco","piscina","terreno","centroid","pva_m2","data_private","data_public","ecd","cfr","thumbnail","classe_energetica_id","cp7_id","estado","gama","situacao_mercado_id","tipo","tipologia","concelho_id","freguesia_id","regiao_id"
2548006,202110,"2021-05-01",5,False,False,False,False,"0101000020E6100000278471E43F6221C09F05FC7582A04340",725,"{""pv"": 50000, ""pva"": 48600, ""coef"": 97.000, ""meses"": 22, ""pv_m2"": 746}","{""cp"": ""2005-347 SANTARÉM"", ""abp"": 67, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 2, ""orginal_cfr"": ""120431307-83"", ""percentil_pva"": 14, ""ano_construcao"": 1961}",219,"cfaa8372102a44402b0a3103806836c8",NULL,7,2005347,2,1,2,1,3,141600,141633,4
2548033,202110,"2020-05-01",17,False,False,False,False,"0101000020E6100000EA33D7D1879621C09623A63C21944340",859,"{""pv"": 76300, ""pva"": 79100, ""coef"": 104.000, ""meses"": 0, ""pv_m2"": 829}","{""cp"": ""2070-113 CARTAXO"", ""abp"": 92, ""concelho"": ""Cartaxo"", ""freguesia"": ""UF Cartaxo e Vale da Pinta"", ""n_quartos"": 2, ""orginal_cfr"": ""120431326-11"", ""percentil_pva"": 43, ""ano_construcao"": 1980}",219,"9f169f5e6e26474b28dd049578ff63d7",NULL,6,2070113,2,2,4,1,3,140600,140609,4
2548034,202110,"2020-10-01",12,False,False,False,False,"0101000020E610000018B08971A36621C0E34FF97C399E4340",846,"{""pv"": 84200, ""pva"": 80400, ""coef"": 96.000, ""meses"": 1, ""pv_m2"": 886}","{""cp"": ""2005-168 SANTARÉM"", ""abp"": 95, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 3, ""orginal_cfr"": ""120431326-13"", ""percentil_pva"": 46, ""ano_construcao"": 1990}",219,"adbfc4a021aae2ef70999b6f40cbf5e7",NULL,6,2005168,2,2,4,1,4,141600,141633,4
2548035,202110,"2020-10-01",12,False,False,False,False,"0101000020E6100000EA33D7D1879621C09623A63C21944340",895,"{""pv"": 84200, ""pva"": 82400, ""coef"": 98.000, ""meses"": 1, ""pv_m2"": 915}","{""cp"": ""2070-113 CARTAXO"", ""abp"": 92, ""concelho"": ""Cartaxo"", ""freguesia"": ""UF Cartaxo e Vale da Pinta"", ""n_quartos"": 2, ""orginal_cfr"": ""120431326-14"", ""percentil_pva"": 47, ""ano_construcao"": 1980}",219,"3ad66743f453df38548e60fe62932e19",NULL,6,2070113,2,2,4,1,3,140600,140609,4
2548144,202110,"2020-09-01",13,False,False,False,False,"0101000020E6100000278471E43F6221C09F05FC7582A04340",1409,"{""pv"": 106600, ""pva"": 105700, ""coef"": 99.000, ""meses"": 1, ""pv_m2"": 1421}","{""cp"": ""2005-347 SANTARÉM"", ""abp"": 75, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 2, ""orginal_cfr"": ""120431369-26"", ""percentil_pva"": 62, ""ano_construcao"": 2007}",219,"aee3ac92b69b6d23349a2f4ee690f50f",NULL,5,2005347,2,3,2,1,3,141600,141633,4
2548047,202110,"2021-03-01",7,False,False,False,False,"0101000020E610000044A2A079D86121C04E3073ECE69D4340",758,"{""pv"": 87500, ""pva"": 86500, ""coef"": 99.000, ""meses"": 32, ""pv_m2"": 768}","{""cp"": ""2005-149 SANTARÉM"", ""abp"": 114, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 4, ""orginal_cfr"": ""120431341-21"", ""percentil_pva"": 51, ""ano_construcao"": 1962}",219,"ddca403603b1ecd22561dad27d23a4a4",NULL,5,2005149,2,3,1,1,5,141600,141633,4
2548056,202110,"2021-03-01",7,False,False,False,False,"0101000020E6100000409CDB12268421C0119DAFA3BBA34340",774,"{""pv"": 281800, ""pva"": 278700, ""coef"": 99.000, ""meses"": 21, ""pv_m2"": 783}","{""cp"": ""2005-089 VÁRZEA STR"", ""abp"": 360, ""concelho"": ""Santarém"", ""freguesia"": ""UF Romeira e Várzea"", ""n_quartos"": 7, ""orginal_cfr"": ""120431341-40"", ""percentil_pva"": 95, ""ano_construcao"": 2007}",219,"73facaad57526cc92d01472c86e7cee4",NULL,3,2005089,2,4,1,2,8,141600,141632,4
2548161,202110,"2021-02-01",8,False,False,False,False,"0101000020E61000001AF16CA87B6621C09CA82181719E4340",937,"{""pv"": 117500, ""pva"": 116200, ""coef"": 99.000, ""meses"": 9, ""pv_m2"": 948}","{""cp"": ""2005-257 SANTARÉM"", ""abp"": 124, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 4, ""orginal_cfr"": ""120431381-5"", ""percentil_pva"": 66, ""ano_construcao"": 1998}",219,"2597269331aee3ec87fc533e22074827",NULL,7,2005257,2,3,2,1,5,141600,141633,4
2548163,202110,"2020-11-01",11,False,False,False,False,"0101000020E6100000937A05589A8821C055B9375CB7954340",1052,"{""pv"": 126000, ""pva"": 123200, ""coef"": 98.000, ""meses"": 11, ""pv_m2"": 1077}","{""cp"": ""2070-668 VILA CHÃ DE OURIQUE"", ""abp"": 117, ""concelho"": ""Cartaxo"", ""freguesia"": ""Vila Chã de Ourique"", ""n_quartos"": 3, ""orginal_cfr"": ""120431382-1"", ""percentil_pva"": 73, ""ano_construcao"": 2007}",219,"c58f78bc5752713869da28c608d8b21d",NULL,7,2070668,2,3,2,1,4,140600,140607,4
2548175,202110,"2021-03-01",7,False,False,False,False,"0101000020E6100000A784F5B9B96021C0A4EA2EBBED9C4340",830,"{""pv"": 105000, ""pva"": 103800, ""coef"": 99.000, ""meses"": 10, ""pv_m2"": 840}","{""cp"": ""2000-208 SANTARÉM"", ""abp"": 125, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 4, ""orginal_cfr"": ""120431382-6"", ""percentil_pva"": 61, ""ano_construcao"": 1974}",219,"b266b5c3105a04cd0e0a567e4069c02b",NULL,5,2000208,2,3,2,1,5,141600,141633,4
